PassengerId,Pclass,Age,Sex,Fam,Fare,Embarked
1,3,22,1,1,0,2
2,1,38,0,1,3,1
3,3,26,0,0,1,2
4,1,35,0,1,3,2
5,3,35,1,0,1,2
6,3,32,1,0,1,3
7,1,54,1,0,3,2
8,3,2,1,4,2,2
9,3,27,0,2,1,2
10,2,14,0,1,2,1
11,3,4,0,2,2,2
12,1,58,0,0,2,2
13,3,20,1,0,1,2
14,3,39,1,6,3,2
15,3,14,0,0,0,2
16,2,55,0,0,2,2
17,3,2,1,5,2,3
18,2,32,1,0,1,2
19,3,31,0,1,2,2
20,3,35,0,0,0,1
21,2,35,1,0,2,2
22,2,34,1,0,1,2
23,3,15,0,0,1,3
24,1,28,1,0,3,2
25,3,8,0,4,2,2
26,3,38,0,6,3,2
27,3,32,1,0,0,1
28,1,19,1,5,3,2
29,3,21,0,0,0,3
30,3,32,1,0,0,2
31,1,40,1,0,2,1
32,1,35,0,1,3,1
33,3,21,0,0,0,3
34,2,66,1,0,1,2
35,1,28,1,1,3,1
36,1,42,1,1,3,2
37,3,32,1,0,0,1
38,3,21,1,0,1,2
39,3,18,0,2,2,2
40,3,14,0,1,1,1
41,3,40,0,1,1,2
42,2,27,0,1,2,2
43,3,32,1,0,0,1
44,2,3,0,3,3,1
45,3,19,0,0,0,3
46,3,32,1,0,1,2
47,3,32,1,1,2,3
48,3,21,0,0,0,3
49,3,32,1,2,2,1
50,3,18,0,1,2,2
51,3,7,1,5,3,2
52,3,21,1,0,0,2
53,1,49,0,1,3,1
54,2,29,0,1,2,2
55,1,65,1,1,3,1
56,1,32,1,0,3,2
57,2,21,0,0,1,2
58,3,28,1,0,0,1
59,2,5,0,3,2,2
60,3,11,1,7,3,2
61,3,22,1,0,0,1
62,1,38,0,0,3,1
63,1,45,1,1,3,2
64,3,4,1,5,2,2
65,1,32,1,0,2,1
66,3,4,1,2,2,1
67,2,29,0,0,1,2
68,3,19,1,0,1,2
69,3,17,0,6,1,2
70,3,26,1,2,1,2
71,2,32,1,0,1,2
72,3,16,0,7,3,2
73,2,21,1,0,3,2
74,3,26,1,1,2,1
75,3,32,1,0,3,2
76,3,25,1,0,0,2
77,3,32,1,0,0,2
78,3,32,1,0,1,2
79,2,0,1,2,2,2
80,3,30,0,0,1,2
81,3,22,1,0,1,2
82,3,29,1,0,1,2
83,3,21,0,0,0,3
84,1,28,1,0,3,2
85,2,17,0,0,1,2
86,3,33,0,3,2,2
87,3,16,1,4,3,2
88,3,32,1,0,1,2
89,1,23,0,5,3,2
90,3,24,1,0,1,2
91,3,29,1,0,1,2
92,3,20,1,0,0,2
93,1,46,1,1,3,2
94,3,26,1,3,2,2
95,3,59,1,0,0,2
96,3,32,1,0,1,2
97,1,71,1,0,3,1
98,1,23,1,1,3,1
99,2,34,0,1,2,2
100,2,34,1,1,2,2
101,3,28,0,0,0,2
102,3,32,1,0,0,2
103,1,21,1,1,3,2
104,3,33,1,0,1,2
105,3,37,1,2,1,2
106,3,28,1,0,0,2
107,3,21,0,0,0,2
108,3,32,1,0,0,2
109,3,38,1,0,0,2
110,3,21,0,1,2,3
111,1,47,1,0,3,2
112,3,14,0,1,2,1
113,3,22,1,0,1,2
114,3,20,0,1,1,2
115,3,17,0,0,2,1
116,3,21,1,0,1,2
117,3,70,1,0,0,3
118,2,29,1,1,2,2
119,1,24,1,1,3,1
120,3,2,0,6,3,2
121,2,21,1,2,3,2
122,3,32,1,0,1,2
123,2,32,1,1,2,1
124,2,32,0,0,1,2
125,1,54,1,1,3,2
126,3,12,1,1,1,1
127,3,32,1,0,0,3
128,3,24,1,0,0,2
129,3,21,0,2,2,1
130,3,45,1,0,0,2
131,3,33,1,0,0,1
132,3,20,1,0,0,2
133,3,47,0,1,2,2
134,2,29,0,1,2,2
135,2,25,1,0,1,2
136,2,23,1,0,2,1
137,1,19,0,2,2,2
